memory_logger.py --read simple_diffusion_memory.log
Date Stamp                 Memory Usage | Percent of MAX memory used: ( 264,256 K )
12 May 09:43:44.688804        220,772 K | ----------------------------------------------| 83.54%
12 May 09:43:44.713501        220,772 K | ----------------------------------------------| 83.54%
12 May 09:43:44.739387        221,340 K | ----------------------------------------------| 83.75%
12 May 09:43:44.762476        221,360 K | ----------------------------------------------| 83.76%
12 May 09:43:44.787937        221,364 K | ----------------------------------------------| 83.76%
12 May 09:43:44.812091        221,364 K | ----------------------------------------------| 83.76%
12 May 09:43:44.836021        221,736 K | ----------------------------------------------| 83.90%
12 May 09:43:44.860136        222,304 K | -----------------------------------------------| 84.12%
12 May 09:43:44.883518        222,872 K | -----------------------------------------------| 84.33%
12 May 09:43:44.907631        223,432 K | -----------------------------------------------| 84.55%
12 May 09:43:44.931405        224,000 K | -----------------------------------------------| 84.76%
12 May 09:43:44.955857        224,568 K | -----------------------------------------------| 84.98%
12 May 09:43:44.980299        225,228 K | -----------------------------------------------| 85.23%
12 May 09:43:45.005989        225,476 K | -----------------------------------------------| 85.32%
12 May 09:43:45.030230        225,476 K | -----------------------------------------------| 85.32%
12 May 09:43:45.055491        225,476 K | -----------------------------------------------| 85.32%
12 May 09:43:45.081710        242,036 K | ----------------------------------------------------| 91.59%
12 May 09:43:45.106176        248,488 K | -----------------------------------------------------| 94.03%
12 May 09:43:45.131717        252,436 K | ------------------------------------------------------| 95.52%
12 May 09:43:45.154943        252,864 K | -------------------------------------------------------| 95.68%
12 May 09:43:45.180223        252,864 K | -------------------------------------------------------| 95.68%
12 May 09:43:45.204101        252,864 K | -------------------------------------------------------| 95.68%
12 May 09:43:45.231400        252,908 K | -------------------------------------------------------| 95.70%
12 May 09:43:45.256618        252,952 K | -------------------------------------------------------| 95.72%
12 May 09:43:45.280726        252,952 K | -------------------------------------------------------| 95.72%
12 May 09:43:45.305591        252,956 K | -------------------------------------------------------| 95.72%
12 May 09:43:45.329648        252,956 K | -------------------------------------------------------| 95.72%
12 May 09:43:45.352770        260,284 K | --------------------------------------------------------| 98.49%
12 May 09:43:45.378819        260,284 K | --------------------------------------------------------| 98.49%
12 May 09:43:45.402456        260,284 K | --------------------------------------------------------| 98.49%
12 May 09:43:45.427618        260,300 K | --------------------------------------------------------| 98.50%
12 May 09:43:45.453548        260,320 K | --------------------------------------------------------| 98.51%
12 May 09:43:45.479022        260,320 K | --------------------------------------------------------| 98.51%
12 May 09:43:45.501936        260,320 K | --------------------------------------------------------| 98.51%
12 May 09:43:45.528891        260,336 K | --------------------------------------------------------| 98.51%
12 May 09:43:45.552825        262,052 K | ---------------------------------------------------------| 99.16%
12 May 09:43:45.577857        262,052 K | ---------------------------------------------------------| 99.16%
12 May 09:43:45.601203        262,052 K | ---------------------------------------------------------| 99.16%
12 May 09:43:45.625882        262,060 K | ---------------------------------------------------------| 99.16%
12 May 09:43:45.649436        262,060 K | ---------------------------------------------------------| 99.16%
12 May 09:43:45.673419        262,060 K | ---------------------------------------------------------| 99.16%
12 May 09:43:45.698650        262,060 K | ---------------------------------------------------------| 99.16%
12 May 09:43:45.724584        262,076 K | ---------------------------------------------------------| 99.17%
12 May 09:43:45.748744        262,076 K | ---------------------------------------------------------| 99.17%
12 May 09:43:45.772850        262,076 K | ---------------------------------------------------------| 99.17%
12 May 09:43:45.796818        262,076 K | ---------------------------------------------------------| 99.17%
12 May 09:43:45.821326        262,076 K | ---------------------------------------------------------| 99.17%
12 May 09:43:45.845563        262,076 K | ---------------------------------------------------------| 99.17%
12 May 09:43:45.869381        262,128 K | ---------------------------------------------------------| 99.19%
12 May 09:43:45.894707        262,128 K | ---------------------------------------------------------| 99.19%
12 May 09:43:45.918825        262,128 K | ---------------------------------------------------------| 99.19%
12 May 09:43:45.944556        262,128 K | ---------------------------------------------------------| 99.19%
12 May 09:43:45.968172        262,152 K | ---------------------------------------------------------| 99.20%
12 May 09:43:45.991548        263,108 K | ---------------------------------------------------------| 99.56%
12 May 09:43:46.014727        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.040446        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.066373        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.093189        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.119405        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.143494        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.169162        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.193289        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.218197        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.243629        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.268366        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.293263        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.316888        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.341042        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.365135        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.393536        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.417729        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.443079        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.466258        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.492176        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.518379        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.544906        264,256 K | -----------------------------------------------------------| 100%
12 May 09:43:46.568232        237,440 K | --------------------------------------------------| 89.85%
12 May 09:43:46.592186        239,492 K | ---------------------------------------------------| 90.62%
12 May 09:43:46.615820        240,656 K | ---------------------------------------------------| 91.06%
12 May 09:43:46.640438        244,368 K | ----------------------------------------------------| 92.47%
12 May 09:43:46.665082        235,456 K | --------------------------------------------------| 89.10%
12 May 09:43:46.688966        230,344 K | -------------------------------------------------| 87.16%
12 May 09:43:46.713106        195,528 K | ----------------------------------------| 73.99%
12 May 09:43:46.739572        177,140 K | -----------------------------------| 67.03%
12 May 09:43:46.767171              0 K | | 0%
Date Stamp                 Memory Usage | Percent of MAX memory used: ( 264,256 K )
